Hebrew	English
0 (מספר)	0 (number)
1	1
1 (מספר)	1 (number)
10	10
10 (מספר)	10 (number)
100	100
100 (מספר)	100 (number)
1000	1000
1000 (מספר)	1000 (number)
101	101
105	105
11	11
11 (מספר)	11 (number)
110	110
115	115
12	12
12 (מספר)	12 (number)
120	120
125	125
13	13
13 (מספר)	13 (number)
130	130
135	135
14	14
14 (מספר)	14 (number)
140	140
144	144
145	145
15	15
15 (מספר)	15 (number)
150	150
155	155
16	16
16 (מספר)	16 (number)
160	160
165	165
17	17
17 (מספר)	17 (number)
170	170
1728	1728
175	175
18	18
18 (מספר)	18 (number)
180	180
19	19
19 (מספר)	19 (number)
190	190
העשור הראשון של המאה ה-20	1900s
שנות ה-20 של המאה ה-20	1920s
שנות ה-30 של המאה ה-20	1930s
שנות ה-40 של המאה ה-20	1940s
שנות ה-50 של המאה ה-20	1950s
שנות ה-60 של המאה ה-20	1960s
שנות ה-70 של המאה ה-20	1970s
שנות ה-80 של המאה ה-20	1980s
שנות ה-90 של המאה ה-20	1990s
2	2
2 (מספר)	2 (number)
20	20
20 (מספר)	20 (number)
200	200
21	21
21 (מספר)	21 (number)
22	22
22 (מספר)	22 (number)
23	23
23 (מספר)	23 (number)
24	24
24 (סדרת טלוויזיה)	24 (TV series)
24 (מספר)	24 (number)
25	25
25 (מספר)	25 (number)
26	26
26 (מספר)	26 (number)
27	27
27 (מספר)	27 (number)
28	28
28 (מספר)	28 (number)
29	29
29 (מספר)	29 (number)
3	3
3 (מספר)	3 (number)
30	30
30 (מספר)	30 (number)
300	300
31	31
31 (מספר)	31 (number)
32	32
32 (מספר)	32 (number)
33	33
33 (מספר)	33 (number)
34	34
34 (מספר)	34 (number)
35	35
35 (מספר)	35 (number)
36	36
36 (מספר)	36 (number)
37	37
37 (מספר)	37 (number)
38	38
38 (מספר)	38 (number)
39	39
39 (מספר)	39 (number)
4	4
4 (מספר)	4 (number)
40	40
40 (מספר)	40 (number)
400	400
41	41
41 (מספר)	41 (number)
42	42
42 (מספר)	42 (number)
43	43
43 (מספר)	43 (number)
44	44
45	45
45 (מספר)	45 (number)
46	46
46 (מספר)	46 (number)
47	47
48	48
49	49
49 (מספר)	49 (number)
5	5
5 (מספר)	5 (number)
50	50
50 (מספר)	50 (number)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (מספר)	6 (number)
60	60
60 (מספר)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (מספר)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (מספר)	8 (number)
80	80
80 (מספר)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (מספר)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
А	A (Cyrillic)
א-קפלה	A cappella
איידס	AIDS
ALGOL	ALGOL
א.ז. אלקמאר	AZ (football club)
אאכן	Aachen
אלבורג	Aalborg
ארה (נהר)	Aar
שנבוב	Aardvark
אורהוס	Aarhus
אהרן	Aaron
חשבונייה	Abacus
אבאדאן	Abadan
בטן	Abdomen
אבל ינזון טסמן	Abel Tasman
חבורה אבלית	Abelian group
אברדין (סקוטלנד)	Aberdeen
אבידג'אן	Abidjan
אבחזיה	Abkhazia
קטגוריה:אבחזיה	Abkhazia
התנועה לביטול העבדות	Abolitionism
הפלה מלאכותית	Abortion
אברהם	Abraham
אברהם לינקולן	Abraham Lincoln
אבסינת	Absinthe
בהירות מוחלטת	Absolute magnitude
ערך מוחלט	Absolute value
האפס המוחלט	Absolute zero
אבסולוטיזם פוליטי	Absolutism (European history)
אמנות מופשטת	Abstract art
אקספרסיוניזם מופשט	Abstract expressionism
הפשטה	Abstraction
אבו דאבי	Abu Dhabi
אבו דאבי	Abu Dhabi (emirate)
אבוג'ה	Abuja
שיטה	Acacia
פרס אוסקר	Academy Award
תאוצה	Acceleration
נציים	Accipitridae
אקורדיון	Accordion
חשבונאות	Accountancy
קטגוריה:חשבונאות	Accountancy
אקרה	Accra
חומצה אצטית	Acetic acid
אצטון	Acetone
אצטילכולין	Acetylcholine
אכילס	Achilles
חומצה	Acid
גשם חומצי	Acid rain
אקנה	Acne vulgaris
אקונקגואה	Aconcagua
אקוסטיקה	Acoustics
קטגוריה:אקוסטיקה	Acoustics
אקר	Acre
עכו	Acre
אקרי (ברזיל)	Acre (state)
אקרופוליס	Acropolis
אקטיניד	Actinide
אקטיניום	Actinium
שחקן	Actor
מעשי השליחים	Acts of the Apostles
דיקור סיני	Acupuncture
אד הומינם	Ad hominem
עדה (שפת תכנות)	Ada (programming language)
אדם סמית	Adam Smith
אדנה	Adana
התמכרות	Addiction
אדיס אבבה	Addis Ababa
אדלייד	Adelaide
עדן	Aden
אדנין	Adenine
ATP	Adenosine triphosphate
אדיג'ה	Adige
שם תואר	Adjective
אדמירל	Admiral
התבגרות	Adolescence
אדולף אייכמן	Adolf Eichmann
אדולף היטלר	Adolf Hitler
אדוניס	Adonis
אימוץ	Adoption
בלוטת יותרת הכליה	Adrenal gland
הים האדריאטי	Adriatic Sea
בגרות	Adult
הציפייה	Advent
פרסום	Advertising
הים האגאי	Aegean Sea
איניאס	Aeneas
איניאידה	Aeneid
איולוס	Aeolus
אווירודינמיקה	Aerodynamics
תרסיס	Aerosol
אייסכילוס	Aeschylus
איזופוס	Aesop
אסתטיקה	Aesthetics
מוספית	Affix
אפגניסטן	Afghanistan
קטגוריה:אפגניסטן	Afghanistan
אפריקה	Africa
קטגוריה:אפריקה	Africa
אמריקאים אפריקאים	African American
אפריקאנס	Afrikaans
אגממנון	Agamemnon
אגר	Agar
אגט	Agate
אגאתה כריסטי	Agatha Christie
חסרי לסתות	Agnatha
אגנוסטיות	Agnosticism
אגורה (מקום כינוס)	Agora
אגורפוביה	Agoraphobia
אגרה (הודו)	Agra
חקלאות	Agriculture
קטגוריה:חקלאות	Agriculture
אגריג'נטו	Agrigento
אייקידו	Aikido
חיל אוויר	Air force
איירבוס	Airbus
כלי טיס	Aircraft
קטגוריה:כלי טיס	Aircraft
נושאת מטוסים	Aircraft carrier
חברת תעופה	Airline
שדה תעופה	Airport
Ajax	Ajax
איאס	Ajax (mythology)
AJAX (תכנות)	Ajax (programming)
אחנתון	Akhenaten
אקירה קורוסאווה	Akira Kurosawa
אל קפונה	Al Capone
אל גור	Al Gore
אל-קאעידה	Al-Qaeda
אלבמה	Alabama
קטגוריה:אלבמה	Alabama
אלן שפרד	Alan Shepard
אלן טיורינג	Alan Turing
אלנין	Alanine
אלסקה	Alaska
קטגוריה:אלסקה	Alaska
אלבן ברג	Alban Berg
אלבניה	Albania
קטגוריה:אלבניה	Albania
אולבני	Albany
אלבטרוסיים	Albatross
אלבדו	Albedo
אלברט אברהם מייקלסון	Albert Abraham Michelson
אלבר קאמי	Albert Camus
אלברט איינשטיין	Albert Einstein
אלברט שווייצר	Albert Schweitzer
אלברט שפר	Albert Speer
אלברטה	Alberta
קטגוריה:אלברטה	Alberta
לבקנות	Albinism
אלביט (מינרל)	Albite
אלבום מוזיקה	Album
אלבקרקי	Albuquerque
אלכימיה	Alchemy
קטגוריה:אלכימיה	Alchemy
כוהל	Alcohol
משקה חריף	Alcoholic beverage
אלכוהוליזם	Alcoholism
אלדהיד	Aldehyde
אלדוס האקסלי	Aldous Huxley
אלק גינס	Alec Guinness
אלכסנדר סולז'ניצין	Aleksandr Solzhenitsyn
חאלב	Aleppo
אלכסנדר (פירושונים)	Alexander
אלכסנדר פלמינג	Alexander Fleming
אלכסנדר גרהם בל	Alexander Graham Bell
אלכסנדר המילטון	Alexander Hamilton
אלכסנדר פופ	Alexander Pope
אלכסנדר פושקין	Alexander Pushkin
אלכסנדר הגדול	Alexander the Great
אלכסנדר דיומא האב	Alexandre Dumas
אלכסנדר דיומא הבן	Alexandre Dumas
אלכסנדריה	Alexandria
אלכסיס דה טוקוויל	Alexis de Tocqueville
אלפרד דרייפוס	Alfred Dreyfus
אלפרד היצ'קוק	Alfred Hitchcock
אלפרד נובל	Alfred Nobel
אלפרד נורת' וייטהד	Alfred North Whitehead
אלפרד ראסל וולאס	Alfred Russel Wallace
אלפרד הגדול	Alfred the Great
אצות	Algae
אלגברה	Algebra
קטגוריה:אלגברה	Algebra
מספר אלגברי	Algebraic number
אלג'יריה	Algeria
קטגוריה:אלג'יריה	Algeria
אלג'יר	Algiers
אלגוריתם	Algorithm
אלהמברה	Alhambra
עלי בן אבי טאלב	Ali
מתכת אלקלית	Alkali metal
אלקלואיד	Alkaloid
אלקאן	Alkane
אלקן	Alkene
אלקין	Alkyne
אללה	Allah
אלגוריה	Allegory
אלל	Allele
אלן גינסברג	Allen Ginsberg
אלרגיה	Allergy
אליטרציה	Alliteration
אלופון	Allophone
אלוזאור	Allosaurus
אלוטרופיה	Allotropy
סגסוגת	Alloy
אלמנך (ספרות)	Almanac
אלמטי	Almaty
שקד מצוי	Almond
אלפא	Alpha (letter)
אלפא קנטאורי	Alpha Centauri
אלפבית	Alphabet
הרי האלפים	Alps
קטגוריה:הרי האלפים	Alps
אלזס	Alsace
אלטאיר	Altair
מזבח	Altar
זרם חילופין	Alternating current
קטגוריה:רפואה אלטרנטיבית	Alternative medicine
רפואה אלטרנטיבית	Alternative medicine
זולתנות	Altruism
אלומיניום	Aluminium
אלומינה	Aluminium oxide
אלבר אלטו	Alvar Aalto
אלצהיימר	Alzheimer's disease
אמנית המוות	Amanita phalloides
נרקיסיים	Amaryllidaceae
אמזונאס (נהר)	Amazon River
שגריר	Ambassador
ענבר	Amber
אמברוזיוס	Ambrose
אמדאו אבוגדרו	Amedeo Avogadro
אמיליה ארהארט	Amelia Earhart
ביזון אמריקאי	American Bison
דוב שחור אמריקני	American Black Bear
מלחמת האזרחים האמריקנית	American Civil War
מלחמת העצמאות של ארצות הברית	American Revolutionary War
סמואה האמריקנית	American Samoa
ASCII	American Standard Code for Information Interchange
פוטבול	American football
קטגוריה:פוטבול	American football
אמריציום	Americium
אמריגו וספוצ'י	Amerigo Vespucci
אחלמה	Amethyst
אמהרית	Amharic
אמיד	Amide
אמין	Amine
חומצת אמינו	Amino acid
אמיש	Amish
עמאן	Amman
מד זרם	Ammeter
אמוניה	Ammonia
אמנזיה	Amnesia
אמפר	Ampere
אמפטמין	Amphetamine
דו-חיים	Amphibian
אמפיתיאטרון	Amphitheatre
אמפורה	Amphora
משרעת	Amplitude
אמסטרדם	Amsterdam
קטגוריה:אמסטרדם	Amsterdam
אמור (נהר)	Amur
אנבפטיזם	Anabaptist
אנגרמה	Anagram
אנהיים	Anaheim
גאומטריה אנליטית	Analytic geometry
אנרכיזם	Anarchism
קטגוריה:אנרכיזם	Anarchism
אנרכיה	Anarchy
ברווזיים	Anatidae
אנטול פרנס	Anatole France
קטגוריה:אנטומיה	Anatomy
אנטומיה	Anatomy
אנכסגורס	Anaxagoras
אנכסימנדרוס	Anaximander
עוגן	Anchor
אנקורג'	Anchorage
קטגוריה:העת העתיקה	Ancient history
אנדלוסיה	Andalusia
ים אנדמן	Andaman Sea
אנדרס צלזיוס	Anders Celsius
הרי האנדים	Andes
אנדרה פראדש	Andhra Pradesh
אנדורה	Andorra
קטגוריה:אנדורה	Andorra
אנדראה פלדיו	Andrea Palladio
אנדריי סחרוב	Andrei Sakharov
אנדריי טרקובסקי	Andrei Tarkovsky
אנדרו ג'קסון	Andrew Jackson
אנדרו ג'ונסון	Andrew Johnson
אנדרו לויד ובר	Andrew Lloyd Webber
אנדרואיד	Android
אנדרומדה (פירושונים)	Andromeda
אנדרומדה (קבוצת כוכבים)	Andromeda (constellation)
אנדרומדה	Andromeda (mythology)
גלקסיית אנדרומדה	Andromeda Galaxy
אנדי וורהול	Andy Warhol
אנמיה	Anemia
מד מהירות רוח	Anemometer
הרדמה	Anesthesia
אנגרה (נהר)	Angara River
מלאך	Angel
מפל אנחל	Angel Falls
זווית	Angle
אנגולה	Angola
קטגוריה:אנגולה	Angola
אנגווילה	Anguilla
תנע זוויתי	Angular momentum
מהירות זוויתית	Angular velocity
בואתיוס	Anicius Manlius Severinus Boethius
בעלי חיים	Animal
גידול בעלי חיים	Animal husbandry
הנפשה	Animation
אנימה (הנפשה)	Anime
קטגוריה:אנימה	Anime
אנימיזם	Animism
אניס	Anise
אנקרה	Ankara
אנאפוליס	Annapolis
אנאפורנה	Annapurna
אן בוליין	Anne Boleyn
ספירת הנוצרים	Anno Domini
הבשורה למרים	Annunciation
אנורקסיה נרבוזה	Anorexia nervosa
אווזאים	Anseriformes
קטגוריה:אווזאים	Anseriformes
נמליים	Ant
אנטיוכיה	Antakya
אנטליה	Antalya
אנטננריבו	Antananarivo
אנטארקטיקה	Antarctica
קטגוריה:אנטארקטיקה	Antarctica
אנטארס	Antares
אנטנה	Antenna (radio)
אנתוני הופקינס	Anthony Hopkins
גחלת	Anthrax
אנתרופולוגיה	Anthropology
קטגוריה:אנתרופולוגיה	Anthropology
אנתרופוסופיה	Anthroposophy
אנטיביוטיקה	Antibiotic
נוגדן	Antibody
אנטיכריסט	Antichrist
אנטי ציקלון	Anticyclone
אנטיגן	Antigen
אנטיגונה	Antigone
אנטיגואה וברבודה	Antigua and Barbuda
קטגוריה:אנטיגואה וברבודה	Antigua and Barbuda
אנטי-חומר	Antimatter
אנטימון	Antimony
נוגד חמצון	Antioxidant
אנטי-אפיפיור	Antipope
אנטישמיות	Antisemitism
קטגוריה:אנטישמיות	Antisemitism
אנטואן לבואזיה	Antoine Lavoisier
אנטון ברוקנר	Anton Bruckner
אנטון צ'כוב	Anton Chekhov
אנטוניו סטרדיווארי	Antonio Stradivari
אנטוניו ויוואלדי	Antonio Vivaldi
אנטוורפן	Antwerp
אנוביס	Anubis
פי הטבעת	Anus
אב העורקים	Aorta
אפאצ'י (שבט)	Apache
אפטיט	Apatite
הומינואידים	Ape
אפאזיה	Aphasia
אפרודיטה	Aphrodite
אפיה (עיר)	Apia
סוככיים	Apiaceae
סיסאים	Apodiformes
אפולו	Apollo
תוכנית אפולו	Apollo program
קטגוריה:תוכנית אפולו	Apollo program
אפופטוזה	Apoptosis
הרי האפלצ'ים	Appalachian Mountains
דלקת התוספתן	Appendicitis
תפוח	Apple
מתמטיקה שימושית	Applied mathematics
משמש	Apricot
אפריל	April
14 באפריל	April 14
אחד באפריל	April Fools' Day
אפסיס	Apse
פוליה	Apulia
עקבה	Aqaba
מי מלך	Aqua regia
אקוומרין	Aquamarine
אקווריום	Aquarium
דלי (קבוצת כוכבים)	Aquarius (constellation)
אמת מים	Aqueduct
נשר (קבוצת כוכבים)	Aquila (constellation)
אקיטן	Aquitaine
מזבח (קבוצת כוכבים)	Ara (constellation)
ערבים	Arab
הליגה הערבית	Arab League
חצי האי ערב	Arabian Peninsula
הים הערבי	Arabian Sea
אלפבית ערבי	Arabic alphabet
ערבית	Arabic language
עכבישניים	Arachnid
ים אראפורה	Arafura Sea
אראגון	Aragon
ימת אראל	Aral Sea
אראם חאצ'טוריאן	Aram Khachaturian
ארקאדיה	Arcadia
ארכאנג'לו קורלי	Arcangelo Corelli
קשת (מבנה)	Arch
ארכאולוגיה	Archaeology
קטגוריה:ארכיאולוגיה	Archaeology
ארכיאופטריקס	Archaeopteryx
ארכיבישוף	Archbishop
ארכאיקון	Archean
ארכיטיפ	Archetype
ארכימדס	Archimedes
ארכיפלג	Archipelago
אדריכל	Architect
אדריכלות	Architecture
קטגוריה:אדריכלות	Architecture
ארכיון	Archive
ארכוזאוריה	Archosaur
האזור הארקטי	Arctic
החוג הארקטי	Arctic Circle
אוקיינוס הקרח הצפוני	Arctic Ocean
שועל שלג	Arctic fox
ארדנים	Ardennes
שטח	Area
דקליים	Arecaceae
ארס (מיתולוגיה)	Ares
ארגנטינה	Argentina
קטגוריה:ארגנטינה	Argentina
ארגון (יסוד)	Argon
ארגוס	Argos
אריה (מוזיקה)	Aria
אריאדנה	Ariadne
האריאניות	Arianism
טלה (קבוצת כוכבים)	Aries (constellation)
אריסטרכוס מסמוס	Aristarchus of Samos
אריסטוקרטיה	Aristocracy
אריסטופאנס	Aristophanes
אריסטו	Aristotle
אריתמטיקה	Arithmetic
קטגוריה:אריתמטיקה	Arithmetic
סדרה חשבונית	Arithmetic progression
אריזונה	Arizona
קטגוריה:אריזונה	Arizona
ארון הברית	Ark of the Covenant
ארקנסו	Arkansas
