English	Hindi
another	दूसरा [doosaraa]
bad	खराब [kharaab]
basic	बुनियादी [buniyaadee]
beautiful	सुन्दर [sundar]
best	सर्वोत्तम [sarvottam]
better	बेहतर [behatar]
big	बड़ा [badaa]
clean	स्वच्छ [svachchh]
cold	ठंडा [thandaa]
correct	त्रुटिहीन [trutiheen]
dark	अंधेरा [andheraa]
difficult	कठिन [kathin]
dirty	गंदा [gandaa]
fast	तीव्र [teevr]
good	सही [sahee]
great	बेहतर गुणवत्ता वाली चीज
great	बहुत सुखद
happy	सुखी [sukhee]
healthy	स्वस्थ [svasth]
heavy	भारी [bhaaree]
hot	गरम [garam]
important	महत्वपूर्ण [mahatvapoorn]
left	वाम पंथ
light	हलका [halakaa]
near	निकट [nikat]
new	नया [nayaa]
nice	अच्छा [achchhaa]
real	यथार्थ [yathaarth]
slow	धीमा [dheemaa]
soft	नरम [naram]
strong	तेज [tej]
weak	कमजोर [kamajor]
wrong	अशुद्ध [ashuddh]
ago	पहले बीता हुआ
all	तमाम
automatic	स्वचालित [svachaalit]
available	उपलब्ध [upalabdh]
bitter	कड़ुवा [kaduvaa]
boring	उबाऊ [ubaaoo]
central	अत्यन्त महत्वपूर्ण [atyant mahatvapoorn]
certain	निश्चित [nishchit]
cheap	सस्ता [sastaa]
chemical	रासायनिक [raasaayanik]
clear	बादल [baadal]
closed	बन्द [band]
common	सामान्य [saamaany]
complete	पूरा [pooraa]
cruel	निर्दयी [nirdayee]
dangerous	खतरनाक [khataranaak]
delicate	सुकुमार [sukumaar]
different	अलग [alag]
different	असदृश
down	नीचे [neeche]
dry	सूखा [sookhaa]
each	हर [har]
early	आरंभ का
easy	आसान [aasaan]
economic	किसी देश के आर्थिक भविष्य से संबंधित
electric	बिजली का [bijalee kaa]
equal	समान [samaan]
even	दो से पूरी तरह विभाज्य
every	प्रत्येक [pratyek]
excellent	श्रेष्ठ [shreshth]
fake	झूठा [jhoothaa]
far	दूर [door]
fat	मोटा [motaa]
fat	भरपूर या बड़ा
few	कुछ [kuchh]
final	आखिरी [aakhiree]
financial	आर्थिक [aarthik]
firm	स्थिर [sthir]
flat	गिरा देना [giraa denaa]
following	अनुगामी [anugaamee]
foreign	विदेशी [videshee]
former	भूतपूर्व [bhootapoorv]
fragile	उत्कृष्ट [utkrusht]
free	मुफ्त [mupht]
frequent	अक्सर [aksar]
fresh	ताजा [taajaa]
full	भरा हुआ [bharaa huaa]
full	सम्पूर्ण [sampoorn]
further	और आगे का
future	भविष्य में [bhavishy men]
general	साधारण [saadhaaran]
industrial	औद्योगिक [audyogik]
interesting	रोचक [rochak]
international	अन्तर्राष्ट्रीय
last	अन्तिम [antim]
late	देरी [deree]
legal	कानूनी [kaanoonee]
liquid	द्रव [drav]
local	स्थानीय [sthaaneey]
low	नीचा [neechaa]
lucky	भाग्यवान
main	मुख्य [mukhy]
major	बड़ा [badaa]
many	अनेक [anek]
metal	धातु जैसा
military	सेना [senaa]
modern	आधुनिक [aadhunik]
more	ज्यादा [jyaadaa]
narrow	संकीर्ण [sankeern]
national	राष्ट्रीय [raashtreey]
natural	प्राकृतिक [praakrutik]
necessary	आवश्यक [aavashyak]
next	निकटवर्ती [nikatavartee]
normal	सामान्य [saamaany]
opposite	विरुद्ध [viruddh]
original	मूल [mool]
own	निजी [nijee]
parallel	साथ-साथ [saath-saath]
particular	विशेष [vishesh]
past	पिछला [pichhalaa]
personal	निजी [nijee]
physical	भौतिक [bhautik]
poor	घृणित [ghrunit]
popular	सस्ता [sastaa]
possible	संभव [sambhav]
present	उपस्थित [upasthit]
previous	पूर्ववर्ती [poorvavartee]
private	व्यक्तिगत [vyaktigat]
probable	संभव [sambhav]
professional	व्यावसायिक [vyaavasaayik]
public	जघन
quiet	शांत [shaant]
ready	तैयार [taiyaar]
recent	हाल का [haal kaa]
regular	स्थायी [sthaayee]
responsible	उत्तरदायी [uttaradaayee]
rigid	कड़ा [kadaa]
rough	अशान्त [ashaant]
round	गोल [gol]
safe	सही-सलामत [sahee-salaamat]
same	समान रूप से [samaan roop se]
second	सेकण्ड [sekand]
secret	छिपा हुआ [chhipaa huaa]
separate	अलग [alag]
serious	विचारशील [vichaarasheel]
set	निश्चित [nishchit]
several	अनेक [anek]
short	छोटा [chhotaa]
silent	शांत [shaant]
simple	आसान [aasaan]
single	एक [ek]
small	छोटा [chhotaa]
smooth	चिकना [chikanaa]
solid	ठोस [thos]
sparse	छितरा [chhitaraa]
special	विशेष [vishesh]
specific	विशेष [vishesh]
square	वर्गाकार [vargaakaar]
standard	सामान्य [saamaany]
sticky	चिपचिपा [chipachipaa]
straight	सीधा [seedhaa]
strange	असामान्य [asaamaany]
stylish	फैशनेबुल [phaishanebul]
sudden	अचानक [achaanak]
sweet	मीठा [meethaa]
tall	लम्बा [lambaa]
thick	घन [ghan]
thin	पतला [patalaa]
tight	मजबूत [majaboot]
true	सत्य [saty]
ugly	कुरूप [kuroop]
under	नीचे [neeche]
unusual	असामान्य [asaamaany]
usual	सार्वजनिक [saarvajanik]
various	भिन्न-भिन्न
warm	गरम [garam]
wet	गीला [geelaa]
whole	पूरा [pooraa]
wide	विस्तृत [vistrut]