Tamil	English
சூனியமும் இடமதிப்புத் திட்டமும்	0 (number)
1530கள்	1530s
1750கள்	1750s
1760கள்	1760s
1770கள்	1770s
1780கள்	1780s
1790கள்	1790s
1820கள்	1820s
1830கள்	1830s
1840கள்	1840s
1850கள்	1850s
1860கள்	1860s
1870கள்	1870s
1880கள்	1880s
1890கள்	1890s
1900கள்	1900s
1920கள்	1920s
1930கள்	1930s
1940கள்	1940s
1950கள்	1950s
1960கள்	1960s
1970கள்	1970s
1980கள்	1980s
1990கள்	1990s
54	54
64	64
68	68
எய்ட்ஸ்	AIDS
எண்சட்டம்	Abacus
ஏபெல் டாஸ்மான்	Abel Tasman
பரிமாற்றுக் குலம்	Abelian group
அப்காசியா	Abkhazia
ஆபிரகாம்	Abraham
ஆபிரகாம் லிங்க்கன்	Abraham Lincoln
பண்பியல் ஓவியம்	Abstract art
பண்பியல் வெளிப்பாட்டியம்	Abstract expressionism
அபுதாபி (நகரம்)	Abu Dhabi
அபுஜா	Abuja
ஆஸ்கார் விருது	Academy Award
பகுப்பு:கணக்கியல்	Accountancy
அக்ரா	Accra
அமிலம்	Acid
அக்கோன்காகுவா	Aconcagua
ஒலியியல்	Acoustics
ஏக்கர்	Acre
அக்ரோபோலிஸ்	Acropolis
அப்போஸ்தலர் பணி	Acts of the Apostles
அடிஸ் அபாபா	Addis Ababa
அடிலெய்ட்	Adelaide
விடலைப் பருவம்	Adolescence
இட்லர்	Adolf Hitler
அண்ணீரகச் சுரப்பி	Adrenal gland
ஈசாப்	Aesop
ஆப்கானிஸ்தான்	Afghanistan
ஆப்பிரிக்கா	Africa
பகுப்பு:ஆப்பிரிக்கா	Africa
ஆபிரிக்க அமெரிக்கர்	African American
ஆபிரிக்கான மொழி	Afrikaans
அகதா கிறிஸ்டி	Agatha Christie
ஆக்ரா	Agra
வேளாண்மை	Agriculture
விமானம் தாங்கிக் கப்பல்	Aircraft carrier
ஏஜாக்ஸ்	Ajax (programming)
அகிரா குரோசாவா	Akira Kurosawa
ஆல் கோர்	Al Gore
அல் கைடா	Al-Qaeda
அலபாமா	Alabama
அலன் ஷெப்பர்ட்	Alan Shepard
அலாஸ்கா	Alaska
அல்பேனியா	Albania
ஆல்பெனி (நியூ யோர்க் மாநிலம்)	Albany
அல்பட்ரோஸ்	Albatross
வெண் எகிர்சிதறல்	Albedo
அல்பேர்ட் காம்யு	Albert Camus
ஆல்பர்ட் ஐன்ஸ்டைன்	Albert Einstein
ஆல்பர்ட்டா	Alberta
ஆல்புகெர்க்கி (நியூ மெக்சிகோ)	Albuquerque
அலூசியன் தீவுகள்	Aleutian Islands
அலெக்ஸாண்டர் பிளெமிங்	Alexander Fleming
அலெக்சாண்டர் கிரகாம் பெல்	Alexander Graham Bell
அலெக்சாண்டர் புஷ்கின்	Alexander Pushkin
ஆல்ஃப்ரெட் ஹிட்ச்காக்	Alfred Hitchcock
அல்பிரட் நோபல்	Alfred Nobel
பாசிகள்	Algae
இயற்கணிதம்	Algebra
இயற்கணித எண்களும் விஞ்சிய எண்களும்	Algebraic number
அல்ஜீரியா	Algeria
கார மாழைகள்	Alkali metal
ஆல்க்கேன்	Alkane
ஆல்க்கீன்	Alkene
ஆல்க்கைன்	Alkyne
அல்லாஹ்	Allah
ஒவ்வாமை	Allergy
கலப்புலோகம்	Alloy
நெடுங்கணக்கு	Alphabet
ஆல்ப்ஸ்	Alps
மாறுதிசை மின்னோட்டம்	Alternating current
அலுமினியம்	Aluminium
அல்வார் ஆல்ட்டோ	Alvar Aalto
அமேசான் ஆறு	Amazon River
அம்பர்	Amber
அமேடியோ அவகாதரோ	Amedeo Avogadro
அமெரிக்க உள்நாட்டுப் போர்	American Civil War
அமெரிக்கக் காற்பந்தாட்டம்	American football
அம்ஹாரிய மொழி	Amharic
அமைன்	Amine
அமினோ அமிலம்	Amino acid
அமோனியா	Ammonia
நிலநீர் வாழிகள்	Amphibian
ஆம்ஸ்டர்டம்	Amsterdam
குதவழிப் பாலுறவு	Anal sex
உடற்கூற்றியல்	Anatomy
ஏங்கரெஜ்	Anchorage
ஆண்டீய மலைத்தொடர்	Andes
